,ID,TERMS (PT-NPT),RELATIONS,PT,MT,code,domain_code,domain
213,2820,Aruba,,,7241 overseas countries and territories,7241,72,72 geography
214,196,Arusha Convention,,,1016 European construction,1016,10,1016 european construction
215,6336,AsDB,USE,Asian Development Bank,7616 extra-European organisations,7616,76,76 international organisations
216,3830,Ascension Island,USE,Saint Helena,7221 Africa,7221,72,72 geography
217,3830,Ascension Island,USE,Saint Helena,7241 overseas countries and territories,7241,72,72 geography
218,5653,Ashkali,USE,Roma,2821 social framework,2821,28,28 social questions
219,2838,Asia,,,7226 Asia and Oceania,7226,72,72 geography
220,6131,Asia-Pacific Economic Cooperation Council,USE,Asia–Pacific economic cooperation,7616 extra-European organisations,7616,76,76 international organisations
221,6131,Asia-Pacific Economic Cooperation Council,USE,Asia–Pacific economic cooperation,7621 world organisations,7621,76,76 international organisations
222,6131,Asia-Pacific Economic Cooperation Forum,USE,Asia–Pacific economic cooperation,7616 extra-European organisations,7616,76,76 international organisations
223,6131,Asia-Pacific Economic Cooperation Forum,USE,Asia–Pacific economic cooperation,7621 world organisations,7621,76,76 international organisations
224,6336,Asian Development Bank,,,7616 extra-European organisations,7616,76,76 international organisations
225,2094,Asian Productivity Organisation,,,7616 extra-European organisations,7616,76,76 international organisations
226,2094,Asian Productivity Organization,USE,Asian Productivity Organisation,7616 extra-European organisations,7616,76,76 international organisations
227,120,Asian and Pacific Council,,,7616 extra-European organisations,7616,76,76 international organisations
228,3725,Asian and Pacific Development Centre,,,7616 extra-European organisations,7616,76,76 international organisations
229,2838,Asian countries,USE,Asia,7226 Asia and Oceania,7226,72,72 geography
230,8464,Asian flu,USE,avian influenza,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
231,2172,Asian intergovernmental organisation,USE,Asian organisation,7616 extra-European organisations,7616,76,76 international organisations
232,2172,Asian intergovernmental organization,USE,Asian organisation,7616 extra-European organisations,7616,76,76 international organisations
233,2172,Asian organisation,,,7616 extra-European organisations,7616,76,76 international organisations
234,2172,Asian organization,USE,Asian organisation,7616 extra-European organisations,7616,76,76 international organisations
235,2172,Asian regional organisation,USE,Asian organisation,7616 extra-European organisations,7616,76,76 international organisations
236,2172,Asian regional organization,USE,Asian organisation,7616 extra-European organisations,7616,76,76 international organisations
237,4615,Asian-Pacific Parliamentarians' Union,,,7616 extra-European organisations,7616,76,76 international organisations
238,6131,Asia–Pacific economic cooperation,,,7616 extra-European organisations,7616,76,76 international organisations
239,6131,Asia–Pacific economic cooperation,,,7621 world organisations,7621,76,76 international organisations
240,594,Associated African and Malagasy States,USE,AAMS countries,7231 economic geography,7231,72,72 geography
241,116,Association Committee,USE,Association Council (EU),1016 European construction,1016,10,1016 european construction
242,116,Association Council (EU),,,1016 European construction,1016,10,1016 european construction
243,7415,Association of Caribbean States,,,7616 extra-European organisations,7616,76,76 international organisations
244,1838,Association of South-East Asian Nations,USE,ASEAN,7616 extra-European organisations,7616,76,76 international organisations
245,3822,Asturias,USE,Principality of Asturias,7211 regions of EU Member States,7211,72,72 geography
246,2110,Atlantic,USE,Atlantic Ocean,5211 natural environment,5211,52,52 environment
247,2199,Atlantic Alliance,USE,NATO,7621 world organisations,7621,76,76 international organisations
248,5443,Atlantic Arc,,,1616 regions and regional policy,1616,16,16 economics
249,2199,Atlantic Community,USE,NATO,7621 world organisations,7621,76,76 international organisations
250,2110,Atlantic Ocean,,,5211 natural environment,5211,52,52 environment
251,2110,Atlantic Region,USE,Atlantic Ocean,5211 natural environment,5211,52,52 environment
252,7889,Attica,,,7211 regions of EU Member States,7211,72,72 geography
253,5184,Audiovisual programmes industry,USE,programmes industry,3226 communications,3226,32,32 education and communications
254,2547,Austral Islands,USE,French Polynesia,7226 Asia and Oceania,7226,72,72 geography
255,2547,Austral Islands,USE,French Polynesia,7231 economic geography,7231,72,72 geography
256,2547,Austral Islands,USE,French Polynesia,7241 overseas countries and territories,7241,72,72 geography
257,4160,Australia,,,7226 Asia and Oceania,7226,72,72 geography
258,4160,Australia,,,7231 economic geography,7231,72,72 geography
259,4160,Australia,,,7236 political geography,7236,72,72 geography
260,4353,Austria,,,7206 Europe,7206,72,72 geography
261,4353,Austria,,,7231 economic geography,7231,72,72 geography
262,4353,Austria,,,7236 political geography,7236,72,72 geography
263,6282,Autonomous City of Ceuta,USE,Ceuta,7211 regions of EU Member States,7211,72,72 geography
264,6283,Autonomous City of Melilla,USE,Melilla,7211 regions of EU Member States,7211,72,72 geography
265,864,Autonomous Communities of Spain,USE,regions of Spain,7211 regions of EU Member States,7211,72,72 geography
266,1873,Autonomous Community of Andalusia,USE,Andalusia,7211 regions of EU Member States,7211,72,72 geography
267,2354,Autonomous Community of Aragon,USE,Aragon,7211 regions of EU Member States,7211,72,72 geography
268,3385,Autonomous Community of Cantabria,USE,Cantabria,7211 regions of EU Member States,7211,72,72 geography
269,3384,Autonomous Community of Castile-La Mancha,USE,Castile-La Mancha,7211 regions of EU Member States,7211,72,72 geography
270,3382,Autonomous Community of Castile-Leon,USE,Castile-Leon,7211 regions of EU Member States,7211,72,72 geography
271,5273,Autonomous Community of Catalonia,USE,Catalonia,7211 regions of EU Member States,7211,72,72 geography
272,869,Autonomous Community of Extremadura,USE,Extremadura,7211 regions of EU Member States,7211,72,72 geography
273,1127,Autonomous Community of Galicia,USE,Galicia,7211 regions of EU Member States,7211,72,72 geography
274,2038,Autonomous Community of Navarre,USE,Navarre,7211 regions of EU Member States,7211,72,72 geography
275,3387,Autonomous Community of la Rioja,USE,Rioja,7211 regions of EU Member States,7211,72,72 geography
276,3386,Autonomous Community of the Balearic Islands,USE,Balearic Islands,7211 regions of EU Member States,7211,72,72 geography
277,2289,Autonomous Community of the Basque country,USE,Basque Country,7211 regions of EU Member States,7211,72,72 geography
278,4172,Autonomous Community of the Canary Islands,USE,Canary Islands,7211 regions of EU Member States,7211,72,72 geography
279,3822,Autonomous Community of the Principality of Asturias,USE,Principality of Asturias,7211 regions of EU Member States,7211,72,72 geography
280,3392,Autonomous Community of the Region of Murcia,USE,Region of Murcia,7211 regions of EU Member States,7211,72,72 geography
281,5246,Autonomous Province of Bolzano,,,7211 regions of EU Member States,7211,72,72 geography
282,5247,Autonomous Province of Trento,,,7211 regions of EU Member States,7211,72,72 geography
283,1730,Autonomous region of Madeira,USE,Madeira,7211 regions of EU Member States,7211,72,72 geography
284,4364,Auvergne,,,7211 regions of EU Member States,7211,72,72 geography
285,c_0a700c19,Auvergne-Rhône-Alpes,,,7211 regions of EU Member States,7211,72,72 geography
286,5454,Azerbaijan,,,7206 Europe,7206,72,72 geography
287,5454,Azerbaijan,,,7236 political geography,7236,72,72 geography
288,5076,Azores,,,7211 regions of EU Member States,7211,72,72 geography
289,448275,BBI Joint Undertaking,USE,European Joint Undertaking,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
290,c_4768a12e,BEREC,USE,Body of European Regulators for Electronic Communications,1006 EU institutions and European civil service,1006,10,1006 eu institutions and european civil service
291,451912,BES islands,USE,"Bonaire, Saint Eustatius and Saba",7216 America,7216,72,72 geography
292,451912,BES islands,USE,"Bonaire, Saint Eustatius and Saba",7241 overseas countries and territories,7241,72,72 geography
293,4859,BEUC,,,7611 European organisations,7611,76,76 international organisations
294,5972,BFOR,USE,programme budgeting,2436 public finance and budget policy,2436,24,24 finance
295,5044,BIS,USE,Bank for International Settlements,7621 world organisations,7621,76,76 international organisations
296,4588,BLEU,USE,Belgo-Luxembourg Economic Union,7611 European organisations,7611,76,76 international organisations
297,115,BOD,USE,board of directors,4006 business organisation,4006,40,40 business and competition
298,4671,BOP,USE,balance of payments,2406 monetary relations,2406,24,24 finance
299,73,BOP assistance,USE,balance of payments assistance,1021 EU finance,1021,10,1021 eu finance
300,c_964c9649,BRICS,USE,BRICS countries,7231 economic geography,7231,72,72 geography
301,c_964c9649,BRICS countries,,,7231 economic geography,7231,72,72 geography
302,6112,BSE,USE,bovine spongiform encephalopathy,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
303,8506,Bacau,,,7211 regions of EU Member States,7211,72,72 geography
304,4560,Baden-Württemberg,,,7211 regions of EU Member States,7211,72,72 geography
305,4560,Baden-Württemberg (Land),USE,Baden-Württemberg,7211 regions of EU Member States,7211,72,72 geography
306,4567,Bahamas,,,7216 America,7216,72,72 geography
307,4567,Bahamas,,,7231 economic geography,7231,72,72 geography
308,4567,Bahamas,,,7236 political geography,7236,72,72 geography
309,4572,Bahrain,,,7226 Asia and Oceania,7226,72,72 geography
310,4572,Bahrain,,,7231 economic geography,7231,72,72 geography
311,4572,Bahrain,,,7236 political geography,7236,72,72 geography
312,451941,Bailiwick of Guernsey,USE,Guernsey,7206 Europe,7206,72,72 geography
313,451991,Bailiwick of Jersey,USE,Jersey ,7206 Europe,7206,72,72 geography
314,3386,Balearic Islands,,,7211 regions of EU Member States,7211,72,72 geography
315,4679,Bali,,,7226 Asia and Oceania,7226,72,72 geography
316,4690,Balkan countries,USE,Western Balkans,7231 economic geography,7231,72,72 geography
317,5774,Baltic Republics,USE,Baltic States,7206 Europe,7206,72,72 geography
318,1871,Baltic Sea,,,5211 natural environment,5211,52,52 environment
319,8396,Baltic Sea States Council,USE,Council of the Baltic Sea States,7611 European organisations,7611,76,76 international organisations
320,c_12742da8,Baltic Sea region,,,1616 regions and regional policy,1616,16,16 economics
321,5774,Baltic States,,,7206 Europe,7206,72,72 geography
322,4732,Bangladesh,,,7226 Asia and Oceania,7226,72,72 geography
323,4732,Bangladesh,,,7231 economic geography,7231,72,72 geography
324,5044,Bank for International Settlements,,,7621 world organisations,7621,76,76 international organisations
325,7837,Banská Bystrica region,,,7211 regions of EU Member States,7211,72,72 geography
326,4816,Barbados,,,7216 America,7216,72,72 geography
327,4816,Barbados,,,7231 economic geography,7231,72,72 geography
328,4816,Barbados,,,7236 political geography,7236,72,72 geography
329,6373,Barcelona Process,USE,Union for the Mediterranean,0811 cooperation policy,0811,08,08 international relations
330,c_1c2d26cf,Barents Sea,,,5211 natural environment,5211,52,52 environment
331,4823,Basilicata,,,7211 regions of EU Member States,7211,72,72 geography
332,2289,Basque Country,,,7211 regions of EU Member States,7211,72,72 geography
333,5799,Basques,USE,indigenous population,2816 demography and population,2816,28,28 social questions
334,1611,Basutoland,USE,Lesotho,7221 Africa,7221,72,72 geography
335,1611,Basutoland,USE,Lesotho,7231 economic geography,7231,72,72 geography
